Tilte,Img Link,Author,Publisher,Price,Summary
공부머리 독서법,http://image.yes24.com/goods/59993940/S,최승필,책구루,"14,850원",12년 동안 아이들과 함께 독서 논술 수업을 하면서 축적한 노하우를 집약한 독서교육 지침서. 가정에서 실현 가능한 독서법만을 모아 실제 사례와 데이터를 바탕으로 직접 효과를 본 내용들을 알차게 채웠다. 어린이 책 작가이면서 그 역시 세 아이에게 매일 책을 읽어줘야 하는 아빠답게 독서교육의 본질과 원리를 꿰뚫으...
당신이 옳다,http://image.yes24.com/goods/64694842/S,정혜신,해냄,"14,220원","‘적정심리학’이란 새로운 패러다임을 통해 강력한 치유 원리와 구조를 제시한다. 이는 간단하지만 본질을 건드려 세상을 변화시키는 적정기술처럼, 사람의 마음과 존재의 본질을 움직여 상처를 치유하고 삶을 회복시키는 심리학을 뜻한다. 복잡한 이론과 전문가의 진단에만 의존하지 않고 스스로 나와 남을 돌보고 치유할..."
코스모스,http://image.yes24.com/goods/2312211/S,칼 세이건,사이언스북스,"16,650원","전 세계 60개국에 방송되어 6억 시청자를 감동시킨 텔레비전 교양 프로그램을 책으로 옮긴 칼 세이건(Carl Sagan)의 『코스모스(Cosmos)』. 현대 천문학을 대표하는 저명한 과학자인 칼 세이건은 이 책에서 사람들의 상상력을 사로잡고, 난해한 개념을 명쾌하게 해설하는 놀라운 능력을 마음껏 발휘한다. 그는 에라토스테네..."
나는 나로 살기로 했다,http://image.yes24.com/goods/33529377/S,김수현,마음의숲,"12,420원","진짜 ‘나’로 살기 위한 뜨거운 조언들. 어른이 처음인 당신을 위한 단단한 위로들. 이 책은 우리가 온전한 ‘나’로 살아가기 위해 무엇이 필요한지 말해준다. 돈 많고 잘나가는 타인의 SNS를 훔쳐보며 비참해질 필요 없고, 스스로에게 변명하고 모두에게 이해받으려 애쓰지 말라고 이야기한다. 불안하다고 무작정 열심히..."
지리의 힘,http://image.yes24.com/goods/30217950/S,팀 마샬,사이,"15,300원","사드, 남중국해, IS, 영유권 분쟁, 유럽의 분열, 모든 것은 지리에서 시작되었다! 우리의 삶은 언제나 우리가 살고 있는 [땅]에 의해 형성돼 왔다.  한니발도, 순자도, 알렉산드로스 대왕도 인정했던  [지리의 법칙]은 21세기에도 변함없이 힘을 발휘하고 있다.  [지리의 힘]이 21세기 현대사에 미치는 영향 집중 해부..."
사피엔스,http://image.yes24.com/goods/23030284/S,유발 하라리,김영사,"19,800원","변방의 유인원 호모 사피엔스는 어떻게 세상의 지배자가 되었는가? 과학은 모든 종교의 미래인가? 인간의 유효기간은 언제까지인가? 멀고먼 인류의 시원부터 인지혁명, 농업혁명, 과학혁명을 거쳐 끊임없이 진화해온 인간의 역사를 다양하고 생생한 시각으로 조명한 전인미답의 문제작. 호모 사피엔스부터 인공지능까지, 역..."
아몬드,http://image.yes24.com/goods/37300128/S,손원평,창비,"10,800원","'감정을 느끼지 못하는' 소년의 특별한 성장 이야기. 타인의 감정에 무감각해진 '공감 불능'인 이 시대에 큰 울림을 주는 소설로, 작품 속 인물들이 타인과 관계 맺고 슬픔에 공감하며 성장해 나가는 과정을 탁월하게 묘사했다. 『완득이』, 『위저드 베이커리』를 잇는 제10회 창비청소년문학상 수상작."
"총, 균, 쇠",http://image.yes24.com/goods/1940233/S,재레드 다이아몬드,문학사상,"25,200원",왜 어떤 민족들은 다른 민족들의 정복과 지배의 대상으로 전락하고 말았는가. 왜 원주민들은 유라시아인들에 의해 도태되고 말았는가. 왜 각 대륙들마다 문명의 발달 속도에 차이가 생겨났는가. '인간 사회의 다양한 문명은 어디서 비롯되는가?'라는 의문을 명쾌하게 분석하여 1998년 퓰리처 상을 수상한 책. 2005년 12월 ...
하버드 상위 1퍼센트의 비밀 (하드커버 리커버 에디션),http://image.yes24.com/goods/65282018/S,정주영,한국경제신문사(한경비피),"14,400원",하버드에서 찾은 가장 강력한 성공 공식! Black Diamond=Block(차단)×Deep(깊은 이해)  “신호를 차단하고 깊이 몰입하라”  하버드에서 똑같은 수업을 들으면서도 자신들은 다른 하버드생들과 다르다고 선 긋는 집단이 있다. 그들은 하버드에서도 가장 폐쇄적인 투자자 집단인 ‘블랙 다이아몬드’다. 그들은 사회가 ...
꽃을 보듯 너를 본다,http://image.yes24.com/goods/24259730/S,나태주,지혜,"9,000원",나태주 시집 『꽃을 보듯 너를 본다』. 이 시집은 시인 나태주의 시 가운데 인터넷의 블로그나 트위터에서 자주 오르내리는 시들만 모아 엮은 책이다.
